"iteration","elapsed_time"
1,164.345
2,169.6
3,170.521
4,172.197
5,176.408
6,178.373
7,177.829
8,179.181
9,180.024
10,182.365
11,184.028
12,183.312
13,184.881
14,177.717
15,179.675
16,179.772
17,181.497
18,183.769
19,182.438
20,183.547
21,185.499
22,187.03
23,188.416
24,191.436
25,191.223999999999
26,191.984
27,197.883
28,181.422
29,180.069
30,182.16
31,182.071
32,184.566
33,187.277
34,187.280000000001
35,189.078
36,190.539
37,192.864
38,193.045
39,196.402
40,199.898
41,200.705999999999
42,200.763
43,201.496
44,203.043
45,205.422
46,206.549999999999
47,209.804999999998
48,209.895
49,212.344999999999
50,215.365
51,220.813
52,207.199000000001
53,196.671
54,198.257
55,201.727999999999
56,208.762000000001
57,206.232
58,209.360000000001
59,216.439
60,215.867
61,219.705
62,214.317000000001
63,216.834999999999
64,217.034000000001
65,216.911999999998
66,223.653
67,226.873
68,223.486999999999
69,218.253000000001
70,221.769
71,227.706
72,228.003999999999
73,227.771000000001
74,232.165000000001
75,234.361000000001
76,235.695
77,240.644
78,238.457
79,239.849999999999
80,245.271999999999
81,244.879999999999
82,219.257999999998
83,211.746999999999
84,215.957999999999
85,217.216
86,226.323
87,225.817000000003
88,228.172999999999
89,227.083000000002
90,226.805
91,228.181
92,227.27
93,226.902000000002
94,235.597999999998
95,245.516
96,241.018
97,244.991000000002
98,246.857
99,245.902999999998
100,246.476999999999
